"Country";"Frequency Range";"Allocations";"Applications"
"AT";"0 - 10 kHz";" ";"#000000"
"AT";"150 - 280 kHz";"LW radio";"#0000FF"
"AT";"531 - 1602 kHz";"MW radio";"#0000FF"
"AT";"1810 - 2000 kHz";"160m HAM";"#DEB887"
"AT";"2173 - 2190 kHz";"Marine";"#000080"
"AT";"2300 - 2495 kHz";"120m SW radio";"#0000FF"
"AT";"3200 - 3400 kHz";"90m SW radio";"#0000FF"
"AT";"3500 - 3800 kHz";"80m HAM";"#DEB887"
"AT";"3950 - 4000 kHz";"75m SW radio";"#0000FF"
"AT";"4750 - 4995 kHz";"60m SW radio";"#0000FF"
"AT";"5351 - 5366 kHz";"60m HAM";"#DEB887"
"AT";"5900 - 6200 kHz";"49m SW radio";"#0000FF"
"AT";"6200 - 6525 kHz";"Marine";"#000080"
"AT";"6765 - 6795 kHz";"ISM";"#DC143C"
"AT";"7000 - 7200 kHz";"40m HAM";"#DEB887"
"AT";"7200 - 7450 kHz";"41m SW radio";"#0000FF"
"AT";"8000 - 8400 kHz";"RFID EAS";"#A9A9A9"
"AT";"9400 - 9900 kHz";"31m SW radio";"#0000FF"
"AT";"10100 - 10150 kHz";"30m HAM";"#DEB887"
"AT";"11600 - 12100 kHz";"25m SW radio";"#0000FF"
"AT";"13410 - 13550 kHz";"Modely";"#B8860B"
"AT";"13550 - 13570 kHz";"RFID";"#ADFF2F"
"AT";"13570 - 13870 kHz";"22m SW radio";"#0000FF"
"AT";"14000 - 14350 kHz";"20m HAM";"#DEB887"
"AT";"15100 - 15830 kHz";"19m SW radio";"#0000FF"
"AT";"17480 - 17900 kHz";"16m SW radio";"#0000FF"
"AT";"18068 - 18168 kHz";"17m HAM";"#DEB887"
"AT";"18900 - 19020 kHz";"15m SW radio";"#0000FF"
"AT";"21000 - 21450 kHz";"15m HAM";"#DEB887"
"AT";"21450 - 21850 kHz";"13m SW radio";"#0000FF"
"AT";"24890 - 24990 kHz";"12m HAM";"#DEB887"
"AT";"25550 - 25670 kHz";"Radioastronomy";"#E0FFFF"
"AT";"25670 - 26100 kHz";"11m SW radio";"#0000FF"
"AT";"26350 - 27500 kHz";"CB/RC";"#B8860B"
"AT";"27500 - 28000 kHz";"Meteo";"#B0E0E6"
"AT";"28.000 - 29.700 MHz";"10m HAM";"#DEB887"
"AT";"30.010 - 34.995 MHz";"PMR/Phones";"#20B2AA"
"AT";"34.995 - 35.225 MHz";"RC Air";"#B8860B"
"AT";"36.400 - 38.500 MHz";"Mics";"#8FBC8F"
"AT";"39.775 - 40.000 MHz";"Phones";"#556B2F"
"AT";"40.660 - 40.990 MHz";"RC";"#B8860B"
"AT";"44.000 - 46.000 MHz";"PMR";"#20B2AA"
"AT";"48.500 - 50.000 MHz";"TV I";"#4B0082"
"AT";"50.000 - 54.000 MHz";"6m HAM";"#DEB887"
"AT";"68.000 - 74.800 MHz";"PMR";"#20B2AA"
"AT";"74.800 - 75.200 MHz";"ILS/Aviation";"#FF0000"
"AT";"75.200 - 87.500 MHz";"PMR";"#20B2AA"
"AT";"87.500 - 108.000 MHz";"FM radio";"#9400D3"
"AT";"108.000 - 117.975 MHz";"VOR ILS/Aviation";"#FF0000"
"AT";"117.975 - 137.000 MHz";"Air Voice";"#FF0000"
"AT";"137.000 - 138.000 MHz";"Meteor - NOAA/LRPT downlink";"#B0E0E6"
"AT";"138.000 - 144.000 MHz";"Aviation navigation";"#FF0000"
"AT";"144.000 - 146.000 MHz";"2m HAM";"#DEB887"
"AT";"146.000 - 161.962 MHz";"PMR";"#20B2AA"
"AT";"161.962 - 162.037 MHz";"AIS/Boats ID";"#483D8B"
"AT";"162.037 - 169.400 MHz";"PMR";"#20B2AA"
"AT";"169.400 - 174.000 MHz";"PMR/Mics";"#8FBC8F"
"AT";"174.000 - 240.000 MHz";"DAB+";"#FF69B4"
"AT";"328.600 - 335.400 MHz";"ILS/Aviation navigation";"#FF0000"
"AT";"380.000 - 385.000 MHz";"Tetrapol/uplink";"#DDFF22"
"AT";"385.000 - 390.000 MHz";"TETRA/uplink";"#FFFF00"
"AT";"390.000 - 395.000 MHz";"Tetrapol/downlink";"#DDFF22"
"AT";"395.000 - 400.000 MHz";"TETRA/downlink";"#FFFF00"
"AT";"400.150 - 405.000 MHz";"Weather baloons/downlink";"#B0E0E6"
"AT";"406.000 - 406.100 MHz";"COSPAS SARSAT/uplink";"#B0E0E6"
"AT";"410.000 - 420.000 MHz";"TETRA/uplink";"#FFFF00"
"AT";"420.000 - 430.000 MHz";"TETRA/downlink";"#FFFF00"
"AT";"431.000 - 435.000 MHz";"ISM 433";"#DC143C"
"AT";"435.000 - 451.310 MHz";"PMR DMR repeaters/70cm HAM";"#20B2AA"
"AT";"451.300 - 455.740 MHz";"450/ArgoNET/uplink";"#EE9000"
"AT";"455.740 - 461.300 MHz";"PMR DMR";"#20B2AA"
"AT";"461.300 - 465.740 MHz";"450/ArgoNET/downlink";"#EE9000"
"AT";"465.740 - 470.000 MHz";"PMR DMR";"#20B2AA"
"AT";"470.000 - 582.000 MHz";"TV IV/DVB-T";"#4B0082"
"AT";"582.000 - 694.000 MHz";"TV V/DVB-T";"#4B0082"
"AT";"703.000 - 713.000 MHz";"700/H3G/uplink";"#686868"
"AT";"713.000 - 733.000 MHz";"700/Magenta/uplink";"#E70073"
"AT";"758.000 - 768.000 MHz";"700/H3G/downlink";"#686868"
"AT";"768.000 - 788.000 MHz";"700/Magenta/downlink";"#E70073"
"AT";"791.000 - 811.000 MHz";"800/A1/downlink";"#529200"
"AT";"811.000 - 821.000 MHz";"800/Magenta/downlink";"#E70073"
"AT";"823.000 - 832.000 MHz";"Mics";"#8FBC8F"
"AT";"832.000 - 852.000 MHz";"800/A1/uplink";"#529200"
"AT";"852.000 - 862.000 MHz";"800/Magenta/uplink";"#E70073"
"AT";"863.000 - 870.000 MHz";"ISM 868";"#DC143C"
"AT";"876.000 - 880.000 MHz";"GSM-R/uplink";"#8c0065"
"AT";"880.000 - 895.000 MHz";"900/Magenta/uplink";"#E70073"
"AT";"895.000 - 900.000 MHz";"900/H3G/uplink";"#686868"
"AT";"900.000 - 915.000 MHz";"900/A1/uplink";"#529200"
"AT";"921.000 - 925.000 MHz";"GSM-R/downlink";"#8c0065"
"AT";"925.000 - 940.000 MHz";"900/Magenta/downlink";"#E70073"
"AT";"940.000 - 945.000 MHz";"900/H3G/downlink";"#686868"
"AT";"945.000 - 960.000 MHz";"900/A1/downlink";"#529200"
"AT";"1028.000 - 1032.000 MHz";"IFF - ADSB/Aviation tracking systems";"#FF0000"
"AT";"1088.000 - 1092.000 MHz";"IFF - ADSB/Aviation tracking systems";"#FF0000"
"AT";"1164.000 - 1215.000 MHz";"Galileo E5";"#7CFC00"
"AT";"1164.000 - 1189.000 MHz";"GPS L5";"#FF1493"
"AT";"1189.000 - 1214.000 MHz";"GLONASS G3";"#FF1493"
"AT";"1207.000 - 1208.000 MHz";"BeiDou B2";"#E0E6B0"
"AT";"1215.000 - 1240.000 MHz";"GPS L2";"#00BFFF"
"AT";"1237.000 - 1254.000 MHz";"GLONASS G2";"#FF1493"
"AT";"1260.000 - 1300.000 MHz";"Galileo E6";"#7CFC00"
"AT";"1268.000 - 1269.000 MHz";"BeiDou B3";"#E0E6B0"
"AT";"1400.000 - 1427.000 MHz";"Satellite sensors";"#B0E0E6"
"AT";"1427.000 - 1457.000 MHz";"1500/Magenta/SDL";"#E70073"
"AT";"1457.000 - 1487.000 MHz";"1500/H3G/SDL";"#686868"
"AT";"1487.000 - 1517.000 MHz";"1500/A1/SDL";"#529200"
"AT";"1518.000 - 1525.000 MHz";"Meteo MSS/uplink";"#B0E0E6"
"AT";"1525.000 - 1559.000 MHz";"INMARSAT/MSS";"#B0E0E6"
"AT";"1544.000 - 1546.000 MHz";"SARSAT LEOSAR MEOSAR GEOSAR/rescue repeaters";"#B68040"
"AT";"1559.000 - 1592.000 MHz";"Galileo E1";"#7CFC00"
"AT";"1561.000 - 1562.000 MHz";"BeiDou B1";"#E0E6B0"
"AT";"1563.000 - 1587.000 MHz";"GPS L1";"#00BFFF"
